-1,38.5,85.5,4,12.5,25,32.5,15.5,34.5,50,24,7.5,5.5,19.5,26.5,106,0.5,-1,1,-1,38,85.5,6.5,25.5,22.5,31.5,9,27.5,36.5,21,7.5,7.5,15,25.5,105,0,-2,-1
-1,32,89.5,3,18,29.5,40,18.5,32,50.5,13,6,5.5,19,26.5,96.5,0,-2,-2,-1,31.5,75,10,20,24,34,9.5,28.5,38,15.5,3.5,5.5,11,21,97,0.5,-1,2
1,38,82,7,20.5,26.5,36.5,11,38.5,49.5,26,9,9.5,16.5,19,109.5,1,2,-1,1,41.5,77.5,10.5,23,15,18.5,9.5,32.5,42,22,6.5,5,15,22,108.5,1,2,2
1,37,76.5,6.5,17,23,30,10.5,32.5,43,20.5,8.5,6,11.5,18.5,103.5,1,2,-2,1,36,79,4,15,25,31,14,38,52,20,6,4,15,23,101,1,1,1
1,41,85,7,18,31,36,15,38,53,28,5,6,18,21,120,1,1,1,-1,40.5,97.5,6,15,14,21,12.5,38.5,51,25.5,9.5,3.5,18.5,22,101,0,-2,1
1,40,80.5,5,10.5,21,32.5,11,34.5,45.5,21,12,2.5,16,21,106,0.5,1,-1,1,42.667,84,6.6667,13.667,23,31,14.333,31.667,46,28,8,4.6667,18.333,24.667,115,0.66667,1,2
-1,34.5,85.5,7,14,6.5,14,11,36.5,47.5,18.5,5.5,6.5,17,18.5,82.5,0,-2,-1,1,37,76,6,16,22,43,17,24,41,20,12,7,18,23,102,1,1,1
-1,42,91,8,15,14,23,15,28,43,20,5,5,11,22,106,0,-1,-1,-1,35,88,7,22,14,19,9,31,40,23,12,4,12,28,91,0,-1,1
-1,39.5,85.5,10,30.5,13,19.5,7,32,39,25.5,10.5,5.5,16,15,102,0.5,-1,1,1,33,79,7.5,17,18.5,28,14.5,28.5,43,15.5,8,5,14,21.5,92,0.5,1,2
1,40,80,11,19,15,16.5,7,29,36,25.5,9,5.5,11,19.5,106,1,2,-1,1,39,81,7,21,18,27,10,36,46,20,10,6,15,24,103,1,1,1
1,37.667,72.667,6.6667,18.667,21,24.667,6.3333,28.667,35,22,5,7.6667,13.333,21.333,103,0.66667,1,1,1,36.333,81.667,5.6667,20,18.333,25.333,12,33.667,45.667,21.667,9,4.3333,14,24,96.667,1,3,1
1,34.5,72.5,7,17,20,32.5,13,27.5,40.5,19.5,10,4,18,23.5,96,1,2,-1,1,39.667,86.667,8.3333,27.333,14.667,21.333,7.6667,31.667,39.333,23,10.333,5,14,15.333,102.33,0.66667,1,2
-1,32.667,86.333,6.6667,22.667,14.667,20.667,13.667,28.333,42,20,7.3333,5,16.667,26,86.667,0,-3,-1,1,41,87,7,18,28.5,35,13.5,37,50.5,26.5,9.5,5.5,15,21.5,117.5,1,2,2
-1,38.667,83.333,8.6667,27.333,20.667,29,9.6667,24.667,34.333,21.667,8.3333,6,16.667,25.333,106.67,0,-3,-2,-1,35,82,6.6667,16.667,15.333,22.667,13.667,32,45.667,16.667,6.6667,5.3333,16,21.333,92,0.33333,-1,-1
-1,36.5,83.25,5.5,20.25,18.5,24.25,11.75,32,43.75,21.25,8.25,5,13,23.75,97,0.75,-1,-1,1,36.667,83,10,24.667,18.667,24.333,10,34,44,22.667,8,4.6667,12,20.667,102,1,3,1
1,41,79.333,4.3333,12.333,24,34,9.3333,34.333,43.667,23.667,11,3.6667,16.667,23.667,110.33,0.66667,2,1,1,38.667,80.333,9.6667,23.333,16.333,21,10.333,35.333,45.667,22,7.6667,6,15,22,103.33,1,3,-1
